2016/11/29,10:29:39,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:29:39,pm1.0=35; pm2.5=51; pm10=64; AQI=70
2016/11/29,10:29:39,pm1.0=34; pm2.5=51; pm10=63; AQI=70
2016/11/29,10:29:43,pm1.0=36; pm2.5=51; pm10=64; AQI=70
2016/11/29,10:29:44,pm1.0=36; pm2.5=51; pm10=63; AQI=70
2016/11/29,10:29:45,pm1.0=36; pm2.5=51; pm10=63; AQI=70
2016/11/29,10:29:46,pm1.0=36; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:29:47,pm1.0=36; pm2.5=52; pm10=66; AQI=71
2016/11/29,10:29:48,pm1.0=36; pm2.5=52; pm10=65; AQI=71
2016/11/29,10:29:49,pm1.0=35; pm2.5=53; pm10=70; AQI=72
2016/11/29,10:29:50,pm1.0=37; pm2.5=51; pm10=70; AQI=70
2016/11/29,10:29:51,pm1.0=37; pm2.5=53; pm10=73; AQI=72
2016/11/29,10:29:52,pm1.0=37; pm2.5=54; pm10=74; AQI=73
2016/11/29,10:29:53,pm1.0=37; pm2.5=55; pm10=74; AQI=75
2016/11/29,10:29:54,pm1.0=37; pm2.5=55; pm10=74; AQI=75
2016/11/29,10:29:55,pm1.0=37; pm2.5=52; pm10=71; AQI=71
2016/11/29,10:29:57,pm1.0=35; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:29:58,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:29:59,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:30:00,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:30:01,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:30:02,pm1.0=36; pm2.5=53; pm10=66; AQI=72
2016/11/29,10:30:04,pm1.0=33; pm2.5=50; pm10=60; AQI=68
2016/11/29,10:30:05,pm1.0=33; pm2.5=50; pm10=60; AQI=68
2016/11/29,10:30:06,pm1.0=33; pm2.5=50; pm10=60; AQI=68
2016/11/29,10:30:07,pm1.0=33; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:30:08,pm1.0=33; pm2.5=50; pm10=62; AQI=68
2016/11/29,10:30:09,pm1.0=32; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:30:10,pm1.0=31; pm2.5=46; pm10=58; AQI=63
2016/11/29,10:30:11,pm1.0=29; pm2.5=45; pm10=58; AQI=62
2016/11/29,10:30:12,pm1.0=29; pm2.5=44; pm10=57; AQI=61
2016/11/29,10:30:13,pm1.0=29; pm2.5=44; pm10=57; AQI=61
2016/11/29,10:30:14,pm1.0=29; pm2.5=43; pm10=57; AQI=60
2016/11/29,10:30:15,pm1.0=30; pm2.5=45; pm10=58; AQI=62
2016/11/29,10:30:16,pm1.0=29; pm2.5=42; pm10=57; AQI=58
2016/11/29,10:30:18,pm1.0=31; pm2.5=44; pm10=58; AQI=61
2016/11/29,10:30:19,pm1.0=31; pm2.5=45; pm10=58; AQI=62
2016/11/29,10:30:20,pm1.0=32; pm2.5=46; pm10=60; AQI=63
2016/11/29,10:30:21,pm1.0=32; pm2.5=46; pm10=62; AQI=63
2016/11/29,10:30:22,pm1.0=35; pm2.5=50; pm10=66; AQI=68
2016/11/29,10:30:23,pm1.0=36; pm2.5=52; pm10=68; AQI=71
2016/11/29,10:30:24,pm1.0=36; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:30:25,pm1.0=37; pm2.5=52; pm10=67; AQI=71
2016/11/29,10:30:26,pm1.0=35; pm2.5=49; pm10=66; AQI=67
2016/11/29,10:30:27,pm1.0=35; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:30:28,pm1.0=35; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:30:29,pm1.0=34; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:30:30,pm1.0=34; pm2.5=49; pm10=63; AQI=67
2016/11/29,10:30:32,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:30:33,pm1.0=34; pm2.5=51; pm10=67; AQI=70
2016/11/29,10:30:34,pm1.0=35; pm2.5=53; pm10=67; AQI=72
2016/11/29,10:30:35,pm1.0=36; pm2.5=55; pm10=70; AQI=75
2016/11/29,10:30:36,pm1.0=36; pm2.5=55; pm10=72; AQI=75
2016/11/29,10:30:37,pm1.0=36; pm2.5=55; pm10=70; AQI=75
2016/11/29,10:30:39,pm1.0=36; pm2.5=55; pm10=70; AQI=75
2016/11/29,10:30:40,pm1.0=36; pm2.5=55; pm10=70; AQI=75
2016/11/29,10:30:41,pm1.0=36; pm2.5=55; pm10=70; AQI=75
2016/11/29,10:30:42,pm1.0=36; pm2.5=54; pm10=69; AQI=73
2016/11/29,10:30:43,pm1.0=36; pm2.5=54; pm10=69; AQI=73
2016/11/29,10:30:44,pm1.0=36; pm2.5=54; pm10=69; AQI=73
2016/11/29,10:30:45,pm1.0=36; pm2.5=54; pm10=70; AQI=73
2016/11/29,10:30:46,pm1.0=36; pm2.5=52; pm10=67; AQI=71
2016/11/29,10:30:47,pm1.0=36; pm2.5=52; pm10=67; AQI=71
2016/11/29,10:30:48,pm1.0=36; pm2.5=52; pm10=67; AQI=71
2016/11/29,10:30:49,pm1.0=34; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:30:50,pm1.0=34; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:30:51,pm1.0=34; pm2.5=49; pm10=64; AQI=67
2016/11/29,10:30:54,pm1.0=33; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:30:55,pm1.0=33; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:30:56,pm1.0=33; pm2.5=48; pm10=63; AQI=66
2016/11/29,10:30:57,pm1.0=34; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:30:58,pm1.0=34; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:30:59,pm1.0=34; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:31:01,pm1.0=34; pm2.5=48; pm10=62; AQI=66
2016/11/29,10:31:02,pm1.0=34; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:31:03,pm1.0=34; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:31:04,pm1.0=34; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:31:05,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:06,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:07,pm1.0=34; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:08,pm1.0=35; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:31:09,pm1.0=35; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:31:10,pm1.0=35; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:31:11,pm1.0=35; pm2.5=52; pm10=68; AQI=71
2016/11/29,10:31:12,pm1.0=35; pm2.5=51; pm10=70; AQI=70
2016/11/29,10:31:13,pm1.0=34; pm2.5=50; pm10=67; AQI=68
2016/11/29,10:31:15,pm1.0=33; pm2.5=46; pm10=65; AQI=63
2016/11/29,10:31:16,pm1.0=33; pm2.5=45; pm10=63; AQI=62
2016/11/29,10:31:17,pm1.0=31; pm2.5=45; pm10=63; AQI=62
2016/11/29,10:31:18,pm1.0=31; pm2.5=45; pm10=63; AQI=62
2016/11/29,10:31:19,pm1.0=31; pm2.5=45; pm10=63; AQI=62
2016/11/29,10:31:20,pm1.0=33; pm2.5=46; pm10=62; AQI=63
2016/11/29,10:31:22,pm1.0=33; pm2.5=46; pm10=61; AQI=63
2016/11/29,10:31:23,pm1.0=33; pm2.5=46; pm10=61; AQI=63
2016/11/29,10:31:24,pm1.0=33; pm2.5=46; pm10=61; AQI=63
2016/11/29,10:31:25,pm1.0=31; pm2.5=45; pm10=59; AQI=62
2016/11/29,10:31:26,pm1.0=31; pm2.5=45; pm10=59; AQI=62
2016/11/29,10:31:27,pm1.0=31; pm2.5=45; pm10=59; AQI=62
2016/11/29,10:31:28,pm1.0=31; pm2.5=46; pm10=58; AQI=63
2016/11/29,10:31:29,pm1.0=32; pm2.5=46; pm10=59; AQI=63
2016/11/29,10:31:30,pm1.0=34; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:31:31,pm1.0=34; pm2.5=52; pm10=65; AQI=71
2016/11/29,10:31:32,pm1.0=35; pm2.5=52; pm10=64; AQI=71
2016/11/29,10:31:33,pm1.0=34; pm2.5=52; pm10=66; AQI=71
2016/11/29,10:31:34,pm1.0=35; pm2.5=52; pm10=66; AQI=71
2016/11/29,10:31:35,pm1.0=35; pm2.5=53; pm10=68; AQI=72
2016/11/29,10:31:36,pm1.0=35; pm2.5=52; pm10=66; AQI=71
2016/11/29,10:31:38,pm1.0=35; pm2.5=52; pm10=64; AQI=71
2016/11/29,10:31:39,pm1.0=35; pm2.5=52; pm10=64; AQI=71
2016/11/29,10:31:40,pm1.0=33; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:31:41,pm1.0=33; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:31:42,pm1.0=33; pm2.5=49; pm10=62; AQI=67
2016/11/29,10:31:43,pm1.0=33; pm2.5=50; pm10=63; AQI=68
2016/11/29,10:31:45,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:31:46,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:31:47,pm1.0=33; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:31:48,pm1.0=33; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:49,pm1.0=33; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:50,pm1.0=33; pm2.5=49; pm10=65; AQI=67
2016/11/29,10:31:51,pm1.0=33; pm2.5=50; pm10=67; AQI=68
2016/11/29,10:31:52,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:31:53,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:31:54,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:31:55,pm1.0=33; pm2.5=53; pm10=72; AQI=72
2016/11/29,10:31:56,pm1.0=33; pm2.5=53; pm10=72; AQI=72
2016/11/29,10:31:58,pm1.0=31; pm2.5=49; pm10=66; AQI=67
2016/11/29,10:31:59,pm1.0=31; pm2.5=47; pm10=68; AQI=65
2016/11/29,10:32:01,pm1.0=32; pm2.5=46; pm10=66; AQI=63
2016/11/29,10:32:02,pm1.0=32; pm2.5=46; pm10=65; AQI=63
2016/11/29,10:32:03,pm1.0=31; pm2.5=44; pm10=62; AQI=61
2016/11/29,10:32:04,pm1.0=31; pm2.5=43; pm10=58; AQI=60
2016/11/29,10:32:05,pm1.0=31; pm2.5=43; pm10=59; AQI=60
2016/11/29,10:32:06,pm1.0=32; pm2.5=44; pm10=59; AQI=61
2016/11/29,10:32:08,pm1.0=33; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:09,pm1.0=33; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:10,pm1.0=34; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:11,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:12,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:13,pm1.0=33; pm2.5=51; pm10=69; AQI=70
2016/11/29,10:32:14,pm1.0=34; pm2.5=52; pm10=69; AQI=71
2016/11/29,10:32:16,pm1.0=33; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:32:17,pm1.0=33; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:32:18,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:19,pm1.0=32; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:20,pm1.0=32; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:21,pm1.0=32; pm2.5=48; pm10=64; AQI=66
2016/11/29,10:32:22,pm1.0=32; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:23,pm1.0=32; pm2.5=47; pm10=63; AQI=65
2016/11/29,10:32:24,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:25,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:26,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:27,pm1.0=32; pm2.5=47; pm10=62; AQI=65
2016/11/29,10:32:29,pm1.0=32; pm2.5=47; pm10=65; AQI=65
2016/11/29,10:32:30,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:31,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:32,pm1.0=33; pm2.5=48; pm10=65; AQI=66
2016/11/29,10:32:33,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:34,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:35,pm1.0=33; pm2.5=48; pm10=66; AQI=66
2016/11/29,10:32:37,pm1.0=33; pm2.5=49; pm10=67; AQI=67
2016/11/29,10:32:38,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:39,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:40,pm1.0=34; pm2.5=50; pm10=70; AQI=68
2016/11/29,10:32:41,pm1.0=33; pm2.5=48; pm10=67; AQI=66
2016/11/29,10:32:42,pm1.0=33; pm2.5=48; pm10=67; AQI=66
2016/11/29,10:32:43,pm1.0=32; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:44,pm1.0=32; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:45,pm1.0=33; pm2.5=49; pm10=68; AQI=67
2016/11/29,10:32:46,pm1.0=33; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:47,pm1.0=34; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:48,pm1.0=34; pm2.5=50; pm10=68; AQI=68
2016/11/29,10:32:50,pm1.0=35; pm2.5=50; pm10=67; AQI=68
2016/11/29,10:32:51,pm1.0=35; pm2.5=51; pm10=65; AQI=70
2016/11/29,10:32:52,pm1.0=36; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:53,pm1.0=35; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:54,pm1.0=36; pm2.5=50; pm10=65; AQI=68
2016/11/29,10:32:55,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:56,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:58,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:32:59,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:00,pm1.0=36; pm2.5=50; pm10=64; AQI=68
2016/11/29,10:33:01,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:02,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:03,pm1.0=34; pm2.5=50; pm10=61; AQI=68
2016/11/29,10:33:05,pm1.0=36; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:33:06,pm1.0=35; pm2.5=51; pm10=66; AQI=70
2016/11/29,10:33:07,pm1.0=36; pm2.5=51; pm10=68; AQI=70
2016/11/29,10:33:08,pm1.0=36; pm2.5=52; pm10=70; AQI=71
